DOI,Materials type,Materials Name,Electrolyte,Voltage (V),Specific surface area (m2/g),Pore volume (cm3/g),IDIG,N-doped (at%),O-doped (at%),E-type,Current density (A/g),Capacitance (F/g)
10.1186/s11671-017-2151-4,porous carbon,cgacf,KOH,1,1435,0.87,0.87,0,0,2,0.1,218
10.1186/s11671-017-2151-4,porous carbon,cgacf,KOH,1,1435,0.87,0.87,0,0,2,0.5,209.3
10.1186/s11671-017-2151-4,porous carbon,cgacf,KOH,1,1435,0.87,0.87,0,0,2,1,205
10.1186/s11671-017-2151-4,porous carbon,cgacf,KOH,1,1435,0.87,0.87,0,0,2,2,203
10.1186/s11671-017-2151-4,porous carbon,cgacf,KOH,1,1435,0.87,0.87,0,0,2,5,201
10.1186/s11671-017-2151-4,porous carbon,cgacf,KOH,1,1435,0.87,0.87,0,0,2,10,194.6
10.1186/s11671-017-2151-4,porous carbon,cgacf,KOH,1,1435,0.87,0.87,0,0,2,20,192
10.1186/s11671-017-2151-4,AC,AC,KOH,1,1282,0.58,1,0,0,2,0.1,175
10.1186/s11671-017-2151-4,AC,AC,KOH,1,1282,0.58,1,0,0,2,0.5,164
10.1186/s11671-017-2151-4,AC,AC,KOH,1,1282,0.58,1,0,0,2,1,157
10.1186/s11671-017-2151-4,AC,AC,KOH,1,1282,0.58,1,0,0,2,2,150.5
10.1186/s11671-017-2151-4,AC,AC,KOH,1,1282,0.58,1,0,0,2,5,142
10.1186/s11671-017-2151-4,AC,AC,KOH,1,1282,0.58,1,0,0,2,10,134.7
10.1186/s11671-017-2151-4,AC,AC,KOH,1,1282,0.58,1,0,0,2,20,122.5
10.1126/science.1200770,graphene,,TEABF4/AN,2.7,3100,2.14,1.19,0,0,2,0.8,150
10.1126/science.1200770,graphene,,BMIMBF4,3.5,3100,2.14,1.19,0,0,2,1.4,165
10.1126/science.1200770,graphene,,BMIMBF4,3.5,3100,2.14,1.19,0,0,2,2.8,166
10.1126/science.1200770,graphene,,BMIMBF4,3.5,3100,2.14,1.19,0,0,2,5.7,166
10.1126/science.1200770,graphene,,EMITFSI,3.5,3100,2.14,1.19,0,0,2,0.7,200
10.1039/d0ta09985f,carbon scaffold,CPIL-1,H2SO4,1,2485,0.93,0.79,2.87,12.21,3,0.5,279
10.1039/d0ta09985f,carbon scaffold,CPIL-2,H2SO4,1,2423,0.98,0.79,4.21,9.49,3,0.5,304
10.1039/d0ta09985f,carbon scaffold,CPIL-3,H2SO4,1,2629,1.14,0.81,7.55,9.2,3,0.5,359
10.1039/d0ta09985f,carbon scaffold,CPIL-4,H2SO4,1,2157,0.97,0.82,7.57,8.06,3,0.5,321
10.1039/d0ta09985f,carbon scaffold,CPIL-5,H2SO4,1,1152,0.46,0.84,8.96,8.43,3,0.5,239
10.1039/d0ta09985f,carbon scaffold,CPIL-6,H2SO4,1,1049,0.44,0.86,9.05,7.81,3,0.5,235
10.1039/d0ta09985f,carbon scaffold,CPIL-1,EMIMBF4,3.5,2485,0.93,0.79,2.87,12.21,2,0.2,135
10.1039/d0ta09985f,carbon scaffold,CPIL-2,EMIMBF4,3.5,2423,0.98,0.79,4.21,9.49,2,0.2,141
10.1039/d0ta09985f,carbon scaffold,CPIL-3,EMIMBF4,3.5,2629,1.14,0.81,7.55,9.2,2,0.2,211
10.1039/d0ta09985f,carbon scaffold,CPIL-4,EMIMBF4,3.5,2157,0.97,0.82,7.57,8.06,2,0.2,158
10.1039/d0ta09985f,carbon scaffold,CPIL-5,EMIMBF4,3.5,1152,0.46,0.84,8.96,8.43,2,0.2,101
10.1039/d0ta09985f,carbon scaffold,CPIL-6,EMIMBF4,3.5,1049,0.44,0.86,9.05,7.81,2,0.2,98
10.1039/c8ta10406a,,HPC-1,KOH,1,2128,1.37,0.88,8.72,15.73,3,1,341
10.1039/c8ta10406a,,HPC-2,KOH,1,2379,1.89,0.88,6.9,10.17,3,1,402
10.1039/c8ta10406a,,HPC-2,KOH,1,2379,1.89,0.88,6.9,10.17,3,0.5,533
10.1039/c8ta10406a,,HPC-3,KOH,1,1921,1.53,0.88,6.51,10.75,3,1,311
10.1039/c8ta10406a,,HPC-4,KOH,1,690,0.548,0.83,10.23,14.04,3,1,200
10.1039/c8ta10406a,,HPC-5,KOH,1,1782,1.42,0.88,5.1,10.51,3,1,280
10.1039/c8ta10406a,,HPC-6,KOH,1,1247,0.99,0.93,2.39,12.64,3,1,261
10.1039/c8ta10158b,,PCN900,KOH,0.8,1527,1.01,0.84,4.99,8.78,3,1,241
10.1039/c8ta10158b,,PCN600,KOH,0.8,1620,0.98,0.96,11.64,10.41,3,1,186
10.1039/c8ta10158b,,PCN800,KOH,0.8,2218,1.36,0.87,6.15,12.66,3,1,267
10.1039/c8ta10158b,,PCN700,KOH,0.8,2660,1.54,0.89,10.95,10.37,3,1,358
10.1039/c8ta10158b,,PCN700,KOH,0.8,2660,1.54,0.89,10.95,10.37,3,0.5,376
10.1039/c8ta10158b,,PCN700,KOH,0.8,2660,1.54,0.89,10.95,10.37,3,50,206
10.1039/c8ta10158b,,PCN700,KOH,0.8,2660,1.54,0.89,10.95,10.37,2,72.5,0.2
10.1039/c8ta10158b,,PCN700,KOH,0.8,2660,1.54,0.89,10.95,10.37,2,70.5,0.5
10.1039/c8ta10158b,,PCN700,KOH,0.8,2660,1.54,0.89,10.95,10.37,2,67.5,1
10.1039/c8ta10158b,,PCN700,KOH,0.8,2660,1.54,0.89,10.95,10.37,2,56.4,2
10.1039/c8ta10158b,,PCN700,KOH,0.8,2660,1.54,0.89,10.95,10.37,2,48.8,5
10.1039/c8ta10158b,,PCN700,KOH,0.8,2660,1.54,0.89,10.95,10.37,2,41.3,10
10.1039/c8qm00284c,sponge-like hierarchical porous carbon,C-B-800,KOH,1,191.2,0.48,0.91,0,0,2,0.5,21
